country departure,country arrival,number of routes
Nigeria,Egypt,3
Oman,Egypt,2
Poland,Egypt,2
Qatar,Egypt,4
Romania,Egypt,1
Russia,Egypt,9
Saudi Arabia,Egypt,31
South Africa,Egypt,2
South Sudan,Egypt,1
Spain,Egypt,5
Sudan,Egypt,5
Switzerland,Egypt,12
Syria,Egypt,5
Tanzania,Egypt,1
Thailand,Egypt,3
Tunisia,Egypt,2
Turkey,Egypt,4
Uganda,Egypt,1
United Arab Emirates,Egypt,14
United Kingdom,Egypt,45
United States,Egypt,2
Uzbekistan,Egypt,1
Yemen,Egypt,5
Belize,El Salvador,2
Canada,El Salvador,1
Colombia,El Salvador,2
Costa Rica,El Salvador,4
Cuba,El Salvador,1
Ecuador,El Salvador,1
Guatemala,El Salvador,5
Honduras,El Salvador,4
Mexico,El Salvador,2
Nicaragua,El Salvador,3
Panama,El Salvador,2
Peru,El Salvador,2
United States,El Salvador,32
Benin,Equatorial Guinea,2
Cameroon,Equatorial Guinea,4
Equatorial Guinea,Equatorial Guinea,4
Ethiopia,Equatorial Guinea,2
France,Equatorial Guinea,1
Gabon,Equatorial Guinea,2
Morocco,Equatorial Guinea,1
Nigeria,Equatorial Guinea,1
Spain,Equatorial Guinea,2
Egypt,Eritrea,1
Saudi Arabia,Eritrea,3
Sudan,Eritrea,2
Yemen,Eritrea,1
Belgium,Estonia,2
Czech Republic,Estonia,1
Denmark,Estonia,2
Estonia,Estonia,6
Finland,Estonia,11
Germany,Estonia,4
Ireland,Estonia,1
Italy,Estonia,1
Latvia,Estonia,1
Lithuania,Estonia,1
Netherlands,Estonia,2
Norway,Estonia,5
Poland,Estonia,1
Russia,Estonia,4
Spain,Estonia,1
Sweden,Estonia,5
Ukraine,Estonia,2
United Kingdom,Estonia,4
Angola,Ethiopia,1
Bahrain,Ethiopia,1
Burkina Faso,Ethiopia,1
Cameroon,Ethiopia,2
Central African Republic,Ethiopia,2
Chad,Ethiopia,1
China,Ethiopia,1
Congo (Brazzaville),Ethiopia,1
Congo (Kinshasa),Ethiopia,2
Djibouti,Ethiopia,5
Egypt,Ethiopia,2
Equatorial Guinea,Ethiopia,2
Ethiopia,Ethiopia,40
France,Ethiopia,1
Gabon,Ethiopia,1
Germany,Ethiopia,2
Ghana,Ethiopia,1
India,Ethiopia,5
Israel,Ethiopia,1
Italy,Ethiopia,4
Kenya,Ethiopia,8
Kuwait,Ethiopia,2
Lebanon,Ethiopia,2
Malawi,Ethiopia,1
Mozambique,Ethiopia,1
Nigeria,Ethiopia,2
Rwanda,Ethiopia,2
Saudi Arabia,Ethiopia,4
South Africa,Ethiopia,3
South Sudan,Ethiopia,2
Sudan,Ethiopia,6
Tanzania,Ethiopia,9
Thailand,Ethiopia,2
Togo,Ethiopia,2
Turkey,Ethiopia,2
Uganda,Ethiopia,6
United Arab Emirates,Ethiopia,3
United Kingdom,Ethiopia,2
United States,Ethiopia,1
Yemen,Ethiopia,1
Zambia,Ethiopia,1
Zimbabwe,Ethiopia,1
Argentina,Falkland Islands,1
Denmark,Faroe Islands,2
Iceland,Faroe Islands,1
Australia,Fiji,10
Fiji,Fiji,26
Hong Kong,Fiji,2
Kiribati,Fiji,3
New Caledonia,Fiji,1
New Zealand,Fiji,6
Samoa,Fiji,1
Solomon Islands,Fiji,2
South Korea,Fiji,1
Tonga,Fiji,2
Tuvalu,Fiji,1
United States,Fiji,7
Vanuatu,Fiji,3
Wallis and Futuna,Fiji,1
Austria,Finland,1
Belarus,Finland,2
Belgium,Finland,5
China,Finland,4
Czech Republic,Finland,2
Denmark,Finland,8
Estonia,Finland,11
Finland,Finland,74
France,Finland,3
Germany,Finland,21
Hong Kong,Finland,1
Hungary,Finland,2
Iceland,Finland,2
India,Finland,1
Italy,Finland,5
Japan,Finland,6
Latvia,Finland,7
Lithuania,Finland,2
Netherlands,Finland,3
Norway,Finland,4
Poland,Finland,4
Portugal,Finland,1
Russia,Finland,7
Singapore,Finland,1
South Korea,Finland,1
Spain,Finland,14
Sweden,Finland,21
Switzerland,Finland,6
Thailand,Finland,1
Turkey,Finland,1
Ukraine,Finland,2
United Arab Emirates,Finland,2
United Kingdom,Finland,6
United States,Finland,2
Algeria,France,69
Angola,France,2
Argentina,France,1
Armenia,France,2
Austria,France,9
Azerbaijan,France,2
Bahrain,France,1
Belarus,France,1
Belgium,France,18
Benin,France,1
Brazil,France,4
Bulgaria,France,3
Burkina Faso,France,1
Cameroon,France,4
Canada,France,13
Cape Verde,France,2
Central African Republic,France,1
Chad,France,1
Chile,France,2
China,France,7
Colombia,France,1
Congo (Brazzaville),France,1
Congo (Kinshasa),France,2
Cote d'Ivoire,France,2
Croatia,France,4
Cuba,France,3
Cyprus,France,1
Czech Republic,France,8
Denmark,France,12
Dominican Republic,France,6
Egypt,France,4
Equatorial Guinea,France,1
Ethiopia,France,1
Finland,France,3
France,France,372
French Guiana,France,2
Gabon,France,1
Germany,France,55
Greece,France,5
Guadeloupe,France,7
Guernsey,France,1
Guinea,France,1
Haiti,France,1
Hong Kong,France,3
Hungary,France,3
Iceland,France,1
India,France,4
Iran,France,1
Ireland,France,10
Israel,France,4
Italy,France,87
Japan,France,6
Jordan,France,2
Kenya,France,2
Latvia,France,1
Lebanon,France,4
Lithuania,France,1
Luxembourg,France,3
Madagascar,France,4
Malaysia,France,2
Maldives,France,1
Mali,France,3
Malta,France,2
Martinique,France,4
Mauritania,France,1
Mauritius,France,3
Mayotte,France,1
Mexico,France,5
Monaco,France,2
Montenegro,France,1
Morocco,France,62
Netherlands,France,26
Netherlands Antilles,France,5
Niger,France,3
Nigeria,France,1
Norway,France,7
Oman,France,1
Pakistan,France,1
Peru,France,1
Poland,France,11
Portugal,France,31
Puerto Rico,France,1
Qatar,France,1
Reunion,France,6
Romania,France,8
Russia,France,8
Saudi Arabia,France,4
Senegal,France,3
Serbia,France,2
Singapore,France,3
Slovakia,France,1
Slovenia,France,3
South Africa,France,3
South Korea,France,3
Spain,France,83
Sri Lanka,France,1
Sweden,France,11
Switzerland,France,16
Syria,France,2
Taiwan,France,1
Thailand,France,4
Togo,France,1
Tunisia,France,32
Turkey,France,9
Ukraine,France,2
United Arab Emirates,France,6
United Kingdom,France,123
United States,France,77
Uzbekistan,France,1
Venezuela,France,1
Vietnam,France,6
Virgin Islands,France,1
Brazil,French Guiana,1
France,French Guiana,2
Guadeloupe,French Guiana,1
Martinique,French Guiana,2
Chile,French Polynesia,1
Cook Islands,French Polynesia,1
French Polynesia,French Polynesia,102
Japan,French Polynesia,2
New Caledonia,French Polynesia,1
New Zealand,French Polynesia,3
United States,French Polynesia,6
Angola,Gabon,1
Benin,Gabon,5
Cameroon,Gabon,6
Congo (Brazzaville),Gabon,2
Congo (Kinshasa),Gabon,4
Equatorial Guinea,Gabon,2
Ethiopia,Gabon,1
France,Gabon,1
Germany,Gabon,1
Morocco,Gabon,1
Nigeria,Gabon,1
Sao Tome and Principe,Gabon,1
South Africa,Gabon,1
Togo,Gabon,1
Belgium,Gambia,6
Germany,Gambia,1
Ghana,Gambia,1
Guinea,Gambia,7
Guinea-Bissau,Gambia,2
Morocco,Gambia,1
Senegal,Gambia,3
Sierra Leone,Gambia,6
Spain,Gambia,1
United Kingdom,Gambia,3
Armenia,Georgia,1
Austria,Georgia,2
Azerbaijan,Georgia,2
Belarus,Georgia,2
China,Georgia,1
Czech Republic,Georgia,1
France,Georgia,1
Georgia,Georgia,2
Germany,Georgia,2
Greece,Georgia,1
Israel,Georgia,1
Kazakhstan,Georgia,1
Latvia,Georgia,2
Poland,Georgia,1
Russia,Georgia,4
Turkey,Georgia,4
Ukraine,Georgia,6
United Arab Emirates,Georgia,2
Afghanistan,Germany,1
Albania,Germany,1
Algeria,Germany,2
Angola,Germany,2
Argentina,Germany,1
Austria,Germany,69
Azerbaijan,Germany,4
Bahrain,Germany,1
Barbados,Germany,1
Belarus,Germany,4
Belgium,Germany,14
Bosnia and Herzegovina,Germany,2
Brazil,Germany,14
Bulgaria,Germany,9
Canada,Germany,19
Cape Verde,Germany,1
China,Germany,17
Colombia,Germany,2
Croatia,Germany,15
Cuba,Germany,6
Cyprus,Germany,8
Czech Republic,Germany,11
Denmark,Germany,25
Dominican Republic,Germany,9
Egypt,Germany,34
Estonia,Germany,4
Ethiopia,Germany,2
Finland,Germany,21
France,Germany,56
Gabon,Germany,1
Gambia,Germany,1
Georgia,Germany,2
Germany,Germany,218
Ghana,Germany,1
Greece,Germany,21
Hong Kong,Germany,3
Hungary,Germany,19
Iceland,Germany,2
India,Germany,14
Iran,Germany,5
Iraq,Germany,2
Ireland,Germany,12
Israel,Germany,12
Italy,Germany,138
Jamaica,Germany,2
Japan,Germany,9
Jordan,Germany,7
Kazakhstan,Germany,5
Kenya,Germany,3
Kuwait,Germany,2
Latvia,Germany,9
Lebanon,Germany,2
Lithuania,Germany,5
Luxembourg,Germany,9
Macedonia,Germany,1
Malaysia,Germany,1
Maldives,Germany,3
Malta,Germany,9
Mauritius,Germany,3
Mexico,Germany,4
Moldova,Germany,2
Montenegro,Germany,1
Morocco,Germany,14
Namibia,Germany,2
Netherlands,Germany,25
Netherlands Antilles,Germany,1
Nigeria,Germany,5
Norway,Germany,22
Oman,Germany,2
Pakistan,Germany,1
Poland,Germany,54
Portugal,Germany,30
Puerto Rico,Germany,1
Qatar,Germany,8
Romania,Germany,24
Russia,Germany,59
Saudi Arabia,Germany,10
Serbia,Germany,23
Seychelles,Germany,1
Singapore,Germany,9
Slovenia,Germany,4
South Africa,Germany,6
South Korea,Germany,3
Spain,Germany,236
Sri Lanka,Germany,1
Sweden,Germany,30
Switzerland,Germany,49
Syria,Germany,2
Taiwan,Germany,1
Tajikistan,Germany,1
Tanzania,Germany,1
Thailand,Germany,8
Tunisia,Germany,17
Turkey,Germany,68
Turkmenistan,Germany,1
Ukraine,Germany,13
United Arab Emirates,Germany,17
United Kingdom,Germany,120
United States,Germany,115
Uzbekistan,Germany,1
Venezuela,Germany,1
Vietnam,Germany,4
Belgium,Ghana,4
Burkina Faso,Ghana,1
Cote d'Ivoire,Ghana,3
Egypt,Ghana,1
Ethiopia,Ghana,1
Gambia,Ghana,1
Germany,Ghana,1
Ghana,Ghana,12
Kenya,Ghana,1
Liberia,Ghana,7
Mali,Ghana,5
Morocco,Ghana,1
Namibia,Ghana,1
Netherlands,Ghana,1
Nigeria,Ghana,8
Portugal,Ghana,1
Sierra Leone,Ghana,1
South Africa,Ghana,1
Togo,Ghana,2
Turkey,Ghana,1
United Arab Emirates,Ghana,1
United Kingdom,Ghana,2
United States,Ghana,5
United Kingdom,Gibraltar,5
Albania,Greece,7
Armenia,Greece,1
Austria,Greece,2
Bahrain,Greece,1
Belgium,Greece,4
Bulgaria,Greece,5
Cyprus,Greece,9
Czech Republic,Greece,1
Denmark,Greece,2
Egypt,Greece,3
France,Greece,5
Georgia,Greece,1
Germany,Greece,21
Greece,Greece,174
Hungary,Greece,2
Israel,Greece,2
Italy,Greece,13
Jordan,Greece,1
Lebanon,Greece,1
Malta,Greece,1
Netherlands,Greece,3
Poland,Greece,1
Portugal,Greece,2
Qatar,Greece,1
Romania,Greece,3
Russia,Greece,5
Serbia,Greece,4
Spain,Greece,7
Switzerland,Greece,3
Syria,Greece,2
Tunisia,Greece,1
Turkey,Greece,6
Ukraine,Greece,1
United Arab Emirates,Greece,4
United Kingdom,Greece,10
United States,Greece,2
Denmark,Greenland,1
Greenland,Greenland,56
Iceland,Greenland,2
Barbados,Grenada,2
Canada,Grenada,2
Puerto Rico,Grenada,1
Saint Vincent and the Grenadines,Grenada,2
Trinidad and Tobago,Grenada,4
United States,Grenada,3
Venezuela,Grenada,1
Antigua and Barbuda,Guadeloupe,1
Canada,Guadeloupe,1
Dominica,Guadeloupe,1
Dominican Republic,Guadeloupe,2
France,Guadeloupe,7
Guadeloupe,Guadeloupe,6
Haiti,Guadeloupe,2
Martinique,Guadeloupe,4
Netherlands Antilles,Guadeloupe,1
Puerto Rico,Guadeloupe,1
Australia,Guam,2
Hong Kong,Guam,2
Japan,Guam,35
Micronesia,Guam,4
Northern Mariana Islands,Guam,3
Palau,Guam,2
Philippines,Guam,2
South Korea,Guam,3
Taiwan,Guam,2
United States,Guam,2
Costa Rica,Guatemala,3
El Salvador,Guatemala,3
Guatemala,Guatemala,2
Honduras,Guatemala,2
Mexico,Guatemala,3
Nicaragua,Guatemala,3
Panama,Guatemala,1
Spain,Guatemala,1
United States,Guatemala,23
France,Guernsey,1
Guernsey,Guernsey,2
Isle of Man,Guernsey,1
Jersey,Guernsey,2
Switzerland,Guernsey,1
United Kingdom,Guernsey,13
Cote d'Ivoire,Guinea,3
France,Guinea,1
Gambia,Guinea,7
Liberia,Guinea,1
Mali,Guinea,2
Mauritania,Guinea,1
Morocco,Guinea,1
Senegal,Guinea,2
Sierra Leone,Guinea,1
Gambia,Guinea-Bissau,1
Morocco,Guinea-Bissau,2
Portugal,Guinea-Bissau,1
Senegal,Guinea-Bissau,3
Sierra Leone,Guinea-Bissau,1
Barbados,Guyana,1
Trinidad and Tobago,Guyana,1
United States,Guyana,1
Canada,Haiti,1
Cuba,Haiti,1
Dominican Republic,Haiti,2
France,Haiti,1
Guadeloupe,Haiti,2
Haiti,Haiti,2
Netherlands Antilles,Haiti,1
Panama,Haiti,1
Turks and Caicos Islands,Haiti,2
United States,Haiti,9
Cayman Islands,Honduras,2
Costa Rica,Honduras,5
El Salvador,Honduras,4
Guatemala,Honduras,2
Honduras,Honduras,32
Mexico,Honduras,1
Panama,Honduras,1
United States,Honduras,20
Australia,Hong Kong,12
Bahrain,Hong Kong,1
Bangladesh,Hong Kong,1
Brunei,Hong Kong,2
Cambodia,Hong Kong,1
Canada,Hong Kong,6
China,Hong Kong,107
Fiji,Hong Kong,2
Finland,Hong Kong,1
France,Hong Kong,3
Germany,Hong Kong,3
Guam,Hong Kong,2
India,Hong Kong,10
Indonesia,Hong Kong,7
Israel,Hong Kong,1
Italy,Hong Kong,2
Japan,Hong Kong,26
Malaysia,Hong Kong,10
Mauritius,Hong Kong,1
Mongolia,Hong Kong,1
Nepal,Hong Kong,3
Netherlands,Hong Kong,2
New Zealand,Hong Kong,2
Papua New Guinea,Hong Kong,1
Philippines,Hong Kong,10
Qatar,Hong Kong,1
Russia,Hong Kong,5
Saudi Arabia,Hong Kong,1
Singapore,Hong Kong,10
South Africa,Hong Kong,2
South Korea,Hong Kong,11
Switzerland,Hong Kong,1
Taiwan,Hong Kong,10
Thailand,Hong Kong,20
Turkey,Hong Kong,1
United Arab Emirates,Hong Kong,3
United Kingdom,Hong Kong,5
United States,Hong Kong,21
Vietnam,Hong Kong,10
Albania,Hungary,2
Austria,Hungary,1
Belgium,Hungary,3
Bosnia and Herzegovina,Hungary,1
Bulgaria,Hungary,4
China,Hungary,2
Croatia,Hungary,1
Cyprus,Hungary,1
Czech Republic,Hungary,3
Denmark,Hungary,2
Egypt,Hungary,1
Finland,Hungary,2
France,Hungary,3
Germany,Hungary,19
Greece,Hungary,2
Ireland,Hungary,2
Israel,Hungary,2
Italy,Hungary,12
Jordan,Hungary,2
Lebanon,Hungary,1
Macedonia,Hungary,1
Moldova,Hungary,3
Montenegro,Hungary,1
Netherlands,Hungary,3
Norway,Hungary,1
Poland,Hungary,2
Portugal,Hungary,1
Qatar,Hungary,1
Romania,Hungary,5
Russia,Hungary,4
Serbia,Hungary,3
Spain,Hungary,5
Sweden,Hungary,6
Switzerland,Hungary,4
Syria,Hungary,2
Turkey,Hungary,2
Ukraine,Hungary,4
United Kingdom,Hungary,8
Denmark,Iceland,2
Faroe Islands,Iceland,1
Finland,Iceland,2
France,Iceland,1
Germany,Iceland,2
Greenland,Iceland,2
Iceland,Iceland,6
Netherlands,Iceland,1
Norway,Iceland,2
Poland,Iceland,2
Sweden,Iceland,1
United Kingdom,Iceland,4
United States,Iceland,4
Afghanistan,India,5
Austria,India,4
Bahrain,India,8
Bangladesh,India,9
Belgium,India,6
Bhutan,India,5
Burma,India,3
Canada,India,1
China,India,8
Egypt,India,1
Ethiopia,India,5
Finland,India,1
France,India,4
Germany,India,16
Hong Kong,India,10
India,India,1093
Iran,India,2
Israel,India,1
Italy,India,4
Japan,India,2
Jordan,India,2
Kazakhstan,India,2
Kenya,India,2
Kuwait,India,8
Malaysia,India,17
Maldives,India,3
Mauritius,India,6
Nepal,India,11
Netherlands,India,4
Oman,India,18
Pakistan,India,3
Qatar,India,15
Russia,India,6
Saudi Arabia,India,36
Singapore,India,32
South Africa,India,3
South Korea,India,2
Sri Lanka,India,17
Switzerland,India,4
Taiwan,India,2
Tajikistan,India,1
Thailand,India,24
Turkey,India,4
Turkmenistan,India,2
Ukraine,India,2
United Arab Emirates,India,66
United Kingdom,India,19
United States,India,9
Uzbekistan,India,2
Yemen,India,2
Australia,Indonesia,22
Brunei,Indonesia,4
China,Indonesia,7
Hong Kong,Indonesia,7
Indonesia,Indonesia,334
Japan,Indonesia,6
Malaysia,Indonesia,46
Philippines,Indonesia,3
Qatar,Indonesia,1
Russia,Indonesia,3
Saudi Arabia,Indonesia,3
Singapore,Indonesia,54
South Korea,Indonesia,4
Sri Lanka,Indonesia,2
Taiwan,Indonesia,7
Thailand,Indonesia,9
United Arab Emirates,Indonesia,4
Vietnam,Indonesia,1
Afghanistan,Iran,8
Armenia,Iran,5
Austria,Iran,2
Azerbaijan,Iran,2
Belarus,Iran,1
China,Iran,3
Denmark,Iran,1
France,Iran,1
Germany,Iran,5
India,Iran,1
Iran,Iran,308
Iraq,Iran,4
Italy,Iran,1
Kazakhstan,Iran,1
Kuwait,Iran,11
Lebanon,Iran,2
Malaysia,Iran,2
Netherlands,Iran,2
Oman,Iran,2
Pakistan,Iran,3
Qatar,Iran,6
Russia,Iran,2
Saudi Arabia,Iran,1
Sweden,Iran,2
Syria,Iran,9
Tajikistan,Iran,3
Thailand,Iran,2
Turkey,Iran,16
Ukraine,Iran,1
United Arab Emirates,Iran,22
United Kingdom,Iran,1
Uzbekistan,Iran,1
Austria,Iraq,2
Egypt,Iraq,2
Germany,Iraq,2
Iran,Iraq,4
Jordan,Iraq,5
Lebanon,Iraq,2
Turkey,Iraq,8
United Arab Emirates,Iraq,7
Austria,Ireland,2
Belgium,Ireland,2
Czech Republic,Ireland,1
Denmark,Ireland,2
Estonia,Ireland,1
France,Ireland,10
Germany,Ireland,12
Hungary,Ireland,2
Ireland,Ireland,4
Isle of Man,Ireland,1
Italy,Ireland,8
Latvia,Ireland,1
Lithuania,Ireland,4
Malta,Ireland,1
Morocco,Ireland,1
Netherlands,Ireland,3
Norway,Ireland,3
Poland,Ireland,17
Portugal,Ireland,3
Romania,Ireland,1
Slovakia,Ireland,1
Spain,Ireland,34
Sweden,Ireland,2
Switzerland,Ireland,4
Turkey,Ireland,1
United Arab Emirates,Ireland,3
United Kingdom,Ireland,63
United States,Ireland,20
Guernsey,Isle of Man,1
Ireland,Isle of Man,1
Jersey,Isle of Man,1
Switzerland,Isle of Man,1
United Kingdom,Isle of Man,17
Armenia,Israel,2
Austria,Israel,2
Azerbaijan,Israel,1
Belarus,Israel,1
Belgium,Israel,2
Bulgaria,Israel,2
Canada,Israel,2
China,Israel,2
Cyprus,Israel,3
Czech Republic,Israel,3
Egypt,Israel,1
Ethiopia,Israel,1
France,Israel,4
Georgia,Israel,1
Germany,Israel,12
Greece,Israel,2
Hong Kong,Israel,1
Hungary,Israel,2
India,Israel,1
Israel,Israel,10
Italy,Israel,5
Jordan,Israel,2
Latvia,Israel,1
Netherlands,Israel,2
Poland,Israel,2
Romania,Israel,2
Russia,Israel,13
South Africa,Israel,1
South Korea,Israel,1
Spain,Israel,5
Switzerland,Israel,4
Thailand,Israel,2
Turkey,Israel,1
Ukraine,Israel,7
United Kingdom,Israel,5
United States,Israel,7
Uzbekistan,Israel,1
Albania,Italy,22
Algeria,Italy,3
Argentina,Italy,2
Austria,Italy,16
Azerbaijan,Italy,1
Bahrain,Italy,2
Bangladesh,Italy,1
Belarus,Italy,2
Belgium,Italy,29
Brazil,Italy,4
Bulgaria,Italy,8
Canada,Italy,2
China,Italy,7
Croatia,Italy,4
Cuba,Italy,5
Cyprus,Italy,5
Czech Republic,Italy,16
Denmark,Italy,7
Egypt,Italy,11
Estonia,Italy,1
Ethiopia,Italy,5
Finland,Italy,5
France,Italy,87
Germany,Italy,140
Ghana,Italy,1
Greece,Italy,13
Hong Kong,Italy,2
Hungary,Italy,12
India,Italy,4
Iran,Italy,1
Ireland,Italy,8
Israel,Italy,5
Italy,Italy,419
Japan,Italy,3
Jordan,Italy,5
Kenya,Italy,5
Kuwait,Italy,2
Latvia,Italy,6
Lebanon,Italy,3
Libya,Italy,1
Lithuania,Italy,4
Luxembourg,Italy,6
Macedonia,Italy,4
Malaysia,Italy,2
Maldives,Italy,2
Malta,Italy,13
Mauritius,Italy,4
Mexico,Italy,1
Moldova,Italy,6
Montenegro,Italy,1
Morocco,Italy,12
Netherlands,Italy,25
Norway,Italy,4
Oman,Italy,1
Pakistan,Italy,2
Poland,Italy,22
Portugal,Italy,21
Qatar,Italy,3
Romania,Italy,44
Russia,Italy,21
Saudi Arabia,Italy,4
Senegal,Italy,1
Serbia,Italy,8
Singapore,Italy,3
Slovakia,Italy,2
South Korea,Italy,2
Spain,Italy,103
Sri Lanka,Italy,1
Sweden,Italy,9
Switzerland,Italy,18
Syria,Italy,1
Tanzania,Italy,2
Thailand,Italy,2
Tunisia,Italy,8
Turkey,Italy,12
Ukraine,Italy,8
United Arab Emirates,Italy,5
United Kingdom,Italy,73
United States,Italy,30
Uzbekistan,Italy,2
Venezuela,Italy,1
Antigua and Barbuda,Jamaica,1
Bahamas,Jamaica,1
Barbados,Jamaica,1
Canada,Jamaica,16
Cayman Islands,Jamaica,2
Cuba,Jamaica,1
Dominican Republic,Jamaica,1
Germany,Jamaica,2
Jamaica,Jamaica,8
Netherlands Antilles,Jamaica,2
Panama,Jamaica,2
Trinidad and Tobago,Jamaica,1
Turks and Caicos Islands,Jamaica,1
United Kingdom,Jamaica,5
United States,Jamaica,38
Australia,Japan,14
Austria,Japan,2
Canada,Japan,6
China,Japan,146
Denmark,Japan,2
Finland,Japan,6
France,Japan,6
French Polynesia,Japan,2
Germany,Japan,9
Guam,Japan,35
Hong Kong,Japan,26
India,Japan,4
Indonesia,Japan,6
Italy,Japan,3
Japan,Japan,543
Macau,Japan,4
Malaysia,Japan,9
Mexico,Japan,2
Mongolia,Japan,1
Netherlands,Japan,2
New Caledonia,Japan,2
New Zealand,Japan,4
Northern Mariana Islands,Japan,4
Palau,Japan,2
Papua New Guinea,Japan,1
Philippines,Japan,10
Qatar,Japan,2
Russia,Japan,5
Singapore,Japan,17
South Korea,Japan,103
Sri Lanka,Japan,1
Switzerland,Japan,2
Taiwan,Japan,42
Thailand,Japan,16
Turkey,Japan,4
United Arab Emirates,Japan,6
United Kingdom,Japan,5
United States,Japan,86
Uzbekistan,Japan,1
Vietnam,Japan,16
Guernsey,Jersey,3
Isle of Man,Jersey,1
Switzerland,Jersey,3
United Kingdom,Jersey,12
Algeria,Jordan,1
Austria,Jordan,3
Bahrain,Jordan,3
Belgium,Jordan,1
Canada,Jordan,3
Cyprus,Jordan,1
Egypt,Jordan,5
France,Jordan,3
Germany,Jordan,7
Greece,Jordan,1
Hungary,Jordan,2
India,Jordan,2
Iraq,Jordan,5
Israel,Jordan,2
Italy,Jordan,4
Jordan,Jordan,2
Kenya,Jordan,1
Kuwait,Jordan,3
Lebanon,Jordan,4
Libya,Jordan,3
Netherlands,Jordan,1
Oman,Jordan,2
Qatar,Jordan,2
Romania,Jordan,2
Russia,Jordan,3
Saudi Arabia,Jordan,9
Spain,Jordan,4
Sri Lanka,Jordan,1
Sudan,Jordan,2
Switzerland,Jordan,2
Syria,Jordan,5
Thailand,Jordan,2
Tunisia,Jordan,1
Turkey,Jordan,2
Ukraine,Jordan,2
United Arab Emirates,Jordan,10
United Kingdom,Jordan,4
United States,Jordan,6
Yemen,Jordan,4
Armenia,Kazakhstan,1
Austria,Kazakhstan,2
Azerbaijan,Kazakhstan,4
Belarus,Kazakhstan,1
China,Kazakhstan,5
Czech Republic,Kazakhstan,1
Georgia,Kazakhstan,1
Germany,Kazakhstan,5
India,Kazakhstan,2
Iran,Kazakhstan,1
Kazakhstan,Kazakhstan,85
Kyrgyzstan,Kazakhstan,1
Malaysia,Kazakhstan,1
Netherlands,Kazakhstan,4
Russia,Kazakhstan,24
South Korea,Kazakhstan,2
Tajikistan,Kazakhstan,4
Thailand,Kazakhstan,1
Turkey,Kazakhstan,6
Ukraine,Kazakhstan,5
United Arab Emirates,Kazakhstan,5
United Kingdom,Kazakhstan,2
Uzbekistan,Kazakhstan,4
Angola,Kenya,2
Bahrain,Kenya,1
Benin,Kenya,1
Botswana,Kenya,2
Burkina Faso,Kenya,1
Burundi,Kenya,9
Cameroon,Kenya,2
Central African Republic,Kenya,1
Chad,Kenya,1
Comoros,Kenya,2
Congo (Kinshasa),Kenya,4
Cote d'Ivoire,Kenya,1
Djibouti,Kenya,2
Egypt,Kenya,1
Ethiopia,Kenya,7
France,Kenya,2
Gabon,Kenya,1
Germany,Kenya,4
Ghana,Kenya,1
India,Kenya,2
Italy,Kenya,4
Jordan,Kenya,1
Kenya,Kenya,56
Madagascar,Kenya,2
Malawi,Kenya,3
Mali,Kenya,1
Mauritius,Kenya,2
Mayotte,Kenya,1
Mozambique,Kenya,4
Netherlands,Kenya,3
Nigeria,Kenya,2
Oman,Kenya,2
Qatar,Kenya,1
Rwanda,Kenya,11
Saudi Arabia,Kenya,2
Seychelles,Kenya,1
Somalia,Kenya,2
South Africa,Kenya,2
South Sudan,Kenya,5
Sudan,Kenya,1
Switzerland,Kenya,2
Tanzania,Kenya,25
Thailand,Kenya,1
Turkey,Kenya,2
Uganda,Kenya,3
United Arab Emirates,Kenya,5
United Kingdom,Kenya,4
Yemen,Kenya,1
Zambia,Kenya,5
Zimbabwe,Kenya,2
Fiji,Kiribati,3
United States,Kiribati,2
China,Korea,3
Thailand,Korea,1
Bahrain,Kuwait,8
Bangladesh,Kuwait,2
Egypt,Kuwait,17
Ethiopia,Kuwait,2
Germany,Kuwait,2
India,Kuwait,7
Iran,Kuwait,11
Italy,Kuwait,2
Jordan,Kuwait,3
Lebanon,Kuwait,3
Malaysia,Kuwait,1
Netherlands,Kuwait,3
Oman,Kuwait,2
Pakistan,Kuwait,6
Qatar,Kuwait,3
Saudi Arabia,Kuwait,11
Sri Lanka,Kuwait,1
Syria,Kuwait,7
Thailand,Kuwait,1
Tunisia,Kuwait,1
Turkey,Kuwait,1
United Arab Emirates,Kuwait,11
United Kingdom,Kuwait,2
United States,Kuwait,3
Yemen,Kuwait,2
Azerbaijan,Kyrgyzstan,1
China,Kyrgyzstan,4
Kazakhstan,Kyrgyzstan,1
Kyrgyzstan,Kyrgyzstan,4
Russia,Kyrgyzstan,42
Tajikistan,Kyrgyzstan,3
Turkey,Kyrgyzstan,2
United Arab Emirates,Kyrgyzstan,2
Uzbekistan,Kyrgyzstan,3
Cambodia,Laos,6
China,Laos,4
Laos,Laos,12
Malaysia,Laos,1
Singapore,Laos,1
Thailand,Laos,7
Vietnam,Laos,5
Austria,Latvia,2
Belarus,Latvia,2
Belgium,Latvia,3
Czech Republic,Latvia,1
Denmark,Latvia,4
Estonia,Latvia,1
Finland,Latvia,7
France,Latvia,1
Georgia,Latvia,2
Germany,Latvia,9
Ireland,Latvia,1
Israel,Latvia,1
Italy,Latvia,6
Lithuania,Latvia,3
Netherlands,Latvia,2
Norway,Latvia,9
Poland,Latvia,2
Russia,Latvia,8
Spain,Latvia,1
Sweden,Latvia,4
Switzerland,Latvia,1
Turkey,Latvia,2
